iter	RMSE
0	273.0366785
1	265.9883079
2	259.1298383
3	252.5234709
4	246.1088295
5	239.9082191
6	233.934744
7	228.0858054
8	222.4060216
9	216.9242877
10	211.5917743
11	206.4509858
12	201.4613778
13	196.6562977
14	191.965197
15	187.4086053
16	183.0136853
17	178.7332906
18	174.5368967
19	170.5591549
20	166.6335969
21	162.8866328
22	159.2229434
23	155.7026482
24	152.2943626
25	148.9666624
26	145.7813428
27	142.7030565
28	139.7195014
29	136.8211592
30	134.0147065
31	131.3365341
32	128.7398905
33	126.2037209
34	123.7432918
35	121.3982135
36	119.1386828
37	116.9443692
38	114.8464814
39	112.8021169
40	110.8276299
41	108.9371824
42	107.1031885
43	105.3126725
44	103.5998935
45	101.9499053
46	100.3775349
47	98.84084516
48	97.36842374
49	95.93206306
50	94.567941
51	93.24484605
52	91.99173015
53	90.74763417
54	89.58345238
55	88.45407362
56	87.36643841
57	86.33416977
58	85.33512115
59	84.37122109
60	83.45225027
61	82.56562903
62	81.72053238
63	80.90634549
64	80.12802194
65	79.37147844
66	78.63941892
67	77.93966933
68	77.27438263
69	76.63590022
70	76.02025774
71	75.42656405
72	74.86159269
73	74.32444322
74	73.80972428
75	73.3174079
76	72.84150239
77	72.38880375
78	71.95512962
79	71.53943361
80	71.13514545
81	70.75114726
82	70.38530489
83	70.03198233
84	69.69835381
85	69.37902366
86	69.06881965
87	68.77562697
88	68.49228376
89	68.21882793
90	67.9589727
91	67.71171417
92	67.47170495
93	67.24176517
94	67.01730317
95	66.80808615
96	66.60611047
97	66.41242388
98	66.23105573
99	66.05526707
100	65.88718986
101	65.7223512
102	65.56845448
103	65.41997221
104	65.27898413
105	65.13815621
106	65.00735332
107	64.88406047
108	64.76698158
109	64.65292299
110	64.54364299
111	64.43474102
112	64.33405242
113	64.23717978
114	64.14282499
115	64.05248895
116	63.96827885
117	63.88725119
118	63.80582561
119	63.7308709
120	63.66028148
121	63.59128382
122	63.52123667
123	63.45619848
124	63.3946338
125	63.33345802
126	63.27712685
127	63.22038057
128	63.16778447
129	63.11794132
130	63.0678189
131	63.01898827
132	62.97236016
133	62.92872419
134	62.88683719
135	62.84652988
136	62.80801361
137	62.77144941
138	62.7359946
139	62.70047942
140	62.66754868
141	62.63417416
142	62.60041313
143	62.56910186
144	62.54064978
145	62.5129218
146	62.48372443
147	62.45639879
148	62.4317148
149	62.40469441
150	62.38198845
151	62.35511537
152	62.33083886
153	62.30577743
154	62.28464653
155	62.2647912
156	62.24274373
157	62.22421167
158	62.20570946
159	62.18551826
160	62.16540607
161	62.14962711
162	62.13378069
163	62.11583056
164	62.10131745
165	62.08716808
166	62.0678729
167	62.05404634
168	62.04097046
169	62.02850065
170	62.01631859
171	62.00342613
172	61.99193756
173	61.97769423
174	61.96401989
175	61.95332266
176	61.94331749
177	61.93262788
178	61.92249732
179	61.90832454
180	61.89881734
181	61.88986011
182	61.88130488
183	61.86720898
184	61.85655856
185	61.84867272
186	61.84072725
187	61.83262305
188	61.82539095
189	61.81706336
190	61.80323458
191	61.79217675
192	61.78213202
193	61.77532822
194	61.76880342
195	61.76235074
196	61.75262893
197	61.74154054
198	61.73589226
199	61.7297805
200	61.71991677
201	61.71448175
202	61.70920363
203	61.7035898
204	61.69744511
205	61.69337442
206	61.68584645
207	61.67865251
208	61.67389035
209	61.6657641
210	61.66101832
211	61.65647555
212	61.6476849
213	61.63975819
214	61.63261393
215	61.62820182
216	61.6241128
217	61.61988727
218	61.61455956
219	61.60981145
220	61.60368739
221	61.59941415
222	61.59597534
223	61.59303237
224	61.58975813
225	61.58640348
226	61.58250088
227	61.58008209
228	61.57350738
229	61.56667281
230	61.56384478
231	61.5605893
232	61.55646957
233	61.55237316
234	61.54933771
235	61.54658606
236	61.5454479
237	61.54374653
238	61.54028079
239	61.53725759
240	61.53558543
241	61.53046723
242	61.52478545
243	61.52046971
244	61.51915306
245	61.51640084
246	61.51075486
247	61.50783032
248	61.50277336
249	61.49936294
250	61.49664266
251	61.49316506
252	61.49126578
253	61.48576711
254	61.48333382
255	61.48061421
256	61.47552488
257	61.47381338
258	61.47154998
259	61.4667272
260	61.46553701
261	61.46286152
262	61.46051817
263	61.45931541
264	61.45686383
265	61.45630535
266	61.45530188
267	61.45108273
268	61.44867738
269	61.44737458
