iter	Passed	Remaining
0	5	1524
1	11	1500
2	16	1460
3	22	1476
4	27	1456
5	32	1445
6	37	1411
7	42	1397
8	47	1386
9	52	1366
10	57	1351
11	61	1332
12	66	1319
13	71	1308
14	76	1306
15	82	1307
16	87	1306
17	93	1302
18	98	1298
19	103	1293
20	108	1287
21	113	1283
22	119	1282
23	124	1277
24	130	1277
25	135	1269
26	140	1263
27	145	1255
28	150	1249
29	155	1242
30	160	1236
31	165	1228
32	170	1221
33	175	1216
34	180	1209
35	185	1204
36	190	1199
37	195	1194
38	200	1187
39	205	1181
40	210	1175
41	215	1169
42	220	1163
43	225	1157
44	230	1150
45	235	1145
46	240	1139
47	244	1133
48	249	1127
49	254	1121
50	259	1115
51	265	1113
52	270	1106
53	275	1101
54	280	1095
55	285	1089
56	290	1084
57	295	1079
58	300	1073
59	305	1068
60	310	1062
61	315	1057
62	320	1051
63	325	1047
64	330	1041
65	335	1036
66	340	1031
67	345	1025
68	350	1021
69	355	1016
70	361	1012
71	366	1007
72	371	1001
73	375	995
74	381	991
75	386	985
76	390	979
77	395	973
78	400	967
79	405	962
80	410	956
81	415	951
82	420	947
83	425	942
84	430	936
85	435	931
86	439	925
87	445	920
88	449	914
89	454	909
90	459	904
91	465	899
92	469	894
93	474	888
94	479	883
95	484	878
96	489	873
97	494	868
98	499	862
99	504	858
100	510	853
101	515	848
102	520	843
103	525	839
104	530	834
105	536	829
106	541	824
107	546	819
108	551	814
109	556	809
110	561	804
111	566	799
112	571	794
113	576	789
114	581	784
115	586	778
116	591	773
117	596	768
118	601	763
119	606	758
120	611	753
121	616	748
122	621	743
123	626	738
124	631	733
125	636	727
126	641	722
127	646	717
128	651	712
129	656	707
130	662	702
131	667	697
132	672	692
133	677	687
134	682	682
135	687	677
136	693	672
137	698	667
138	703	663
139	709	658
140	714	653
141	719	648
142	724	643
143	729	638
144	734	633
145	739	628
146	745	623
147	750	618
148	755	613
149	760	608
150	765	603
151	770	598
152	775	593
153	780	588
154	785	582
155	790	577
156	795	572
157	800	567
158	805	562
159	810	557
160	815	552
161	820	547
162	826	542
163	831	537
164	836	532
165	841	527
166	846	522
167	851	517
168	856	512
169	861	506
170	866	501
171	871	496
172	876	491
173	881	486
174	886	481
175	891	476
176	896	471
177	901	466
178	906	460
179	911	455
180	916	450
181	921	445
182	926	440
183	931	435
184	937	430
185	942	425
186	947	420
187	952	415
188	957	410
189	962	405
190	968	400
191	973	395
192	978	390
193	983	385
194	988	380
195	993	375
196	998	370
197	1004	365
198	1009	360
199	1014	354
200	1019	350
201	1024	344
202	1029	339
203	1035	334
204	1040	329
205	1045	324
206	1050	319
207	1055	314
208	1060	309
209	1065	304
210	1070	299
211	1075	294
212	1080	289
213	1085	284
214	1090	279
215	1096	274
216	1101	268
217	1106	263
218	1111	258
219	1115	253
220	1120	248
221	1125	243
222	1130	238
223	1135	233
224	1140	228
225	1145	222
226	1149	217
227	1154	212
228	1159	207
229	1164	202
230	1169	197
231	1174	192
232	1179	187
233	1184	182
234	1188	177
235	1193	171
236	1198	166
237	1203	161
238	1208	156
239	1212	151
240	1217	146
241	1222	141
242	1227	136
243	1233	131
244	1237	126
245	1243	121
246	1248	116
247	1254	111
248	1258	106
249	1263	101
250	1268	96
251	1273	90
252	1278	85
253	1283	80
254	1288	75
255	1293	70
256	1298	65
257	1303	60
258	1308	55
259	1313	50
260	1318	45
261	1323	40
262	1329	35
263	1334	30
264	1339	25
265	1344	20
266	1348	15
267	1353	10
268	1358	5
269	1364	0
